小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
186,1404,之,曉開三C之平,僖,許,其,,,,曉開三C魚上,羣開三C之平,,,200,,樂.許其反.十二.,
187,1419,之,影開三C之平,醫,扵,其,,,,影開三C魚平,羣開三C之平,,,201,,扵其反.二.,
188,1423,之,徹開三之平,癡,丑,之,,,,徹三尤上,章開三之平,,,202,,丑之反.三.,
189,1427,之,澄開三之平,治,直,之,,,,澄開三蒸入,章開三之平,,,203,,直之反.二.,
190,1429,之,昌開三之平,蚩,赤,之,,,,昌開三清入,章開三之平,,,204,,䖝名.赤之反.二.,蟲名.赤之反.二.
191,1435,之,從開三之平,慈,疾,之,,,,從開三真入,章開三之平,,,205,,疾之反.三.,
192,1438,之,精開三之平,兹,子,之,,,,精開三之上,章開三之平,,,206,,子之反.九.,
193,1450,之,崇開三之平,茬,士,之,,,,崇開三之上,章開三之平,,,207,,〻平縣名.士之反.一.,茬平縣名.士之反.一.
194,1451,之,俟開三之平,漦,俟,淄,,,,俟開三之上,莊開三之平,,,208,,龍㳄.又順流.俟淄反.一.,
195,1452,微,明三C微平,微,無,非,,,,明三C虞平,幫三C微平,,,211,,無非反.四.,
196,1458,微,曉合三C微平,輝,許,歸,,,,曉開三C魚上,見合三C微平,,,212,,許歸反.七.,
197,1469,微,云合三C微平,幃,王,非,,,,云合三C陽平,幫三C微平,,,213,,香囊.王非反.七.,
198,1482,微,滂三C微平,霏,芳,非,,,,滂三C陽平,幫三C微平,,,214,,芳非反.六.,
199,1489,微,幫三C微平,奜,匪,肥,,,,幫三C微上,並三C微平,,,215,,〻豹見左𫝊.匪肥反.八.,猆豹見左傳.匪肥反.八.
200,1497,微,並三C微平,肥,符,非,,,,並三C虞平,幫三C微平,,,216,,符非反.五.,
201,1505,微,影合三C微平,威,扵,非,,,,影開三C魚平,幫三C微平,,,217,,扵非反.五.,
202,1512,微,羣開三C微平,祈,渠,希,,,,羣開三C魚平,曉開三C微平,,,218,,求.渠希反.九.,
203,1524,微,見開三C微平,機,居,希,,,,見開三C魚平,曉開三C微平,,,219,,居希反.十一.,
204,1539,微,曉開三C微平,希,虚,機,,,,曉開三C魚平,見開三C微平,,,220,,虚機反.六.,
205,1547,微,影開三C微平,依,扵,機,,,,影開三C魚平,見開三C微平,,,221,,扵機反.五.,
206,1553,微,疑開三C微平,沂,魚,機,,,,疑開三C魚平,見開三C微平,,,222,,水名.魚機反.一.,
207,1554,微,疑合三C微平,巍,語,韋,,,,疑開三C魚上,云合三C微平,,,223,,語韋反.一.,
208,1556,微,溪合三C微平,蘬,丘,韋,,,,溪三C尤平,云合三C微平,,,225,,馬蓼似蓼而大.丘韋反.一.,
209,1557,微,見合三C微平,歸,俱,韋,,,,見合三C虞平,云合三C微平,,,224,,俱韋反.一.,
210,1558,魚,疑開三C魚平,魚,語,居,,,,疑開三C魚上,見開三C魚平,,,226,,語居反.六.,
211,1565,魚,初開三魚平,初,楚,魚,,,,初開三魚上,疑開三C魚平,,,227,,楚魚反.一.,
212,1566,魚,書開三魚平,書,傷,魚,,,,書開三陽平,疑開三C魚平,,,228,,傷魚反.六.,
213,1573,魚,見開三C魚平,居,舉,魚,,,,見開三C魚上,疑開三C魚平,,,229,,舉魚反.六.,
214,1582,魚,羣開三C魚平,渠,強,魚,,,,羣開三C陽平,疑開三C魚平,,,230,,強魚反.十三.,
215,1603,魚,以開三魚平,余,与,魚,,,,以開三魚上,疑開三C魚平,,,231,,与魚反.十九.,
216,1626,魚,心開三魚平,胥,息,魚,,,,心開三蒸入,疑開三C魚平,,,232,,息魚反.七.,
