反切字,音韻地位
駒,見合三C虞平
駕,見開二麻去
駭,匣開二皆上
驅,溪合三C虞平
驕,見開三B宵平
驗,疑開三B鹽去
驚,見開三B庚平
骨,見合一魂入
髓,心合三支上
髙,見開一豪平
鬼,見合三C微上
魚,疑開三C魚平
魯,來一模上
鱞,見合二山平
鳥,端開四蕭上
鳩,見三C尤平
鳳,並三C東去
鴆,澄開三侵去
鴈,疑開二刪去
鶪,見合四青入
鷄,見開四齊平
鹽,以開三鹽平
鹿,來一東入
麁,清一模平
麕,見合三B真平
麥,明二耕入
黄,匣合一唐平
黒,曉開一登入
黝,影開三A幽上
黠,匣開二山入
黤,影開二銜上
黨,端開一唐上
鼎,端開四青上
鼻,並三A脂去
𠃵,羣開三B仙平
𠋫,匣一侯去
𩏩,曉開三C嚴平
